direction,thresh,strategy,accuracy_mean,up,down
pos,2,cca.spearman,0.902,0.9280863985,0.8759136015
pos,3,cca.spearman,0.826,0.8592630804,0.7927369196
pos,1,cca.pearson,0.794,0.8294847443,0.7585152557
pos,2,cca.pearson,0.768,0.8050358589,0.7309641411
posneg,1,cca.pearson,0.758,0.7955785574,0.7204214426
posneg,2,cca.pearson,0.744,0.7822916666,0.7057083334
pos,0,cca.pearson,0.742,0.7803892497,0.7036107503
pos,3,cca.pearson,0.658,0.6996220837,0.6163779163
pos,1,cca.spearman,0.632,0.6743136283,0.5896863717
pos,4,cca.spearman,0.612,0.6547552443,0.5692447557
pos,4,cca.pearson,0.572,0.615412792,0.528587208
pos,5,cca.spearman,0.49,0.5338612441,0.4461387559
posneg,0,cca.pearson,0.472,0.5158011768,0.4281988232
posneg,0,svi.pearson,0.472,0.5158011768,0.4281988232
pos,0,svi.pearson,0.458,0.5017149716,0.4142850284
pos,5,cca.pearson,0.446,0.4896134186,0.4023865814
posneg,3,cca.pearson,0.404,0.447053814,0.360946186
posneg,1,svi.pearson,0.382,0.424630825,0.339369175
posneg,1,cca.spearman,0.356,0.3980112642,0.3139887358
pos,1,svi.pearson,0.306,0.3464332142,0.2655667858
pos,0,cca.spearman,0.252,0.2900933255,0.2139066745
pos,0,svi.spearman,0.148,0.1791564863,0.1168435137
posneg,2,cca.spearman,0.134,0.1638888471,0.1041111529
pos,2,svi.pearson,0.11,0.1374529592,0.0825470408
pos,6,cca.pearson,0.106,0.1330096844,0.0789903156
pos,6,cca.spearman,0.1,0.1263220114,0.0736779886
pos,1,svi.spearman,0.084,0.1083380174,0.0596619826
posneg,0,cca.spearman,0.078,0.1015293852,0.0544706148
posneg,0,svi.spearman,0.078,0.1015293852,0.0544706148
posneg,4,cca.pearson,0.07,0.0923866089,0.0476133911
posneg,2,svi.pearson,0.046,0.0643802291,0.0276197709
posneg,1,svi.spearman,0.044,0.0619950519,0.0260049481
pos,9,cca.spearman,0.036,0.0523451001,0.0196548999
pos,9,cca.pearson,0.034,0.0499010513,0.0180989487
posneg,9,cca.spearman,0.034,0.0499010513,0.0180989487
pos,3,svi.pearson,0.022,0.0348700012,0.0091299988
pos,2,svi.spearman,0.018,0.0296651362,0.0063348638
posneg,9,cca.pearson,0.016,0.0270091898,0.0049908102
pos,8,cca.pearson,0.014,0.0243086144,0.0036913856
pos,8,cca.spearman,0.014,0.0243086144,0.0036913856
pos,7,cca.pearson,0.004,0.0095380578,-0.0015380578
pos,7,cca.spearman,0.004,0.0095380578,-0.0015380578
pos,10,svi.pearson,0.004,0.0095380578,-0.0015380578
posneg,10,svi.pearson,0.004,0.0095380578,-0.0015380578
pos,10,svi.spearman,0.004,0.0095380578,-0.0015380578
posneg,10,svi.spearman,0.004,0.0095380578,-0.0015380578
pos,10,cca.pearson,0,0,0
pos,11,cca.pearson,0,0,0
pos,12,cca.pearson,0,0,0
pos,13,cca.pearson,0,0,0
posneg,5,cca.pearson,0,0,0
posneg,6,cca.pearson,0,0,0
posneg,7,cca.pearson,0,0,0
posneg,8,cca.pearson,0,0,0
posneg,10,cca.pearson,0,0,0
posneg,11,cca.pearson,0,0,0
posneg,12,cca.pearson,0,0,0
posneg,13,cca.pearson,0,0,0
pos,10,cca.spearman,0,0,0
pos,11,cca.spearman,0,0,0
pos,12,cca.spearman,0,0,0
pos,13,cca.spearman,0,0,0
posneg,3,cca.spearman,0,0,0
posneg,4,cca.spearman,0,0,0
posneg,5,cca.spearman,0,0,0
posneg,6,cca.spearman,0,0,0
posneg,7,cca.spearman,0,0,0
posneg,8,cca.spearman,0,0,0
posneg,10,cca.spearman,0,0,0
posneg,11,cca.spearman,0,0,0
posneg,12,cca.spearman,0,0,0
posneg,13,cca.spearman,0,0,0
pos,4,svi.pearson,0,0,0
pos,5,svi.pearson,0,0,0
pos,6,svi.pearson,0,0,0
pos,7,svi.pearson,0,0,0
pos,8,svi.pearson,0,0,0
pos,9,svi.pearson,0,0,0
pos,11,svi.pearson,0,0,0
pos,12,svi.pearson,0,0,0
pos,13,svi.pearson,0,0,0
posneg,3,svi.pearson,0,0,0
posneg,4,svi.pearson,0,0,0
posneg,5,svi.pearson,0,0,0
posneg,6,svi.pearson,0,0,0
posneg,7,svi.pearson,0,0,0
posneg,8,svi.pearson,0,0,0
posneg,9,svi.pearson,0,0,0
posneg,11,svi.pearson,0,0,0
posneg,12,svi.pearson,0,0,0
posneg,13,svi.pearson,0,0,0
pos,3,svi.spearman,0,0,0
pos,4,svi.spearman,0,0,0
pos,5,svi.spearman,0,0,0
pos,6,svi.spearman,0,0,0
pos,7,svi.spearman,0,0,0
pos,8,svi.spearman,0,0,0
pos,9,svi.spearman,0,0,0
pos,11,svi.spearman,0,0,0
pos,12,svi.spearman,0,0,0
pos,13,svi.spearman,0,0,0
posneg,2,svi.spearman,0,0,0
posneg,3,svi.spearman,0,0,0
posneg,4,svi.spearman,0,0,0
posneg,5,svi.spearman,0,0,0
posneg,6,svi.spearman,0,0,0
posneg,7,svi.spearman,0,0,0
posneg,8,svi.spearman,0,0,0
posneg,9,svi.spearman,0,0,0
posneg,11,svi.spearman,0,0,0
posneg,12,svi.spearman,0,0,0
posneg,13,svi.spearman,0,0,0
